path,distribution,family,util_bucket,n_tasks,U_total,dm_schedulable,edf_schedulable,edf_checked_points,edf_worst_violation,sim_horizon,sim_dm_missed_total,sim_edf_missed_total
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.20-util/tasksets/automotive_29.csv,automotive-utilDist,automotive-perDist,0.20,6,0.1909,1,1,20,-8630,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.20-util/tasksets/automotive_3.csv,automotive-utilDist,automotive-perDist,0.20,21,0.19478,1,1,20,-9720,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.20-util/tasksets/automotive_30.csv,automotive-utilDist,automotive-perDist,0.20,17,0.20416,1,1,2,-80762,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.20-util/tasksets/automotive_31.csv,automotive-utilDist,automotive-perDist,0.20,14,0.064272,1,1,2,-98990,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.20-util/tasksets/automotive_32.csv,automotive-utilDist,automotive-perDist,0.20,10,0.11717,1,1,10,-19800,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.20-util/tasksets/automotive_33.csv,automotive-utilDist,automotive-perDist,0.20,18,0.109641,1,1,10,-19340,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.20-util/tasksets/automotive_34.csv,automotive-utilDist,automotive-perDist,0.20,4,0.1547,1,1,20,-8720,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.20-util/tasksets/automotive_35.csv,automotive-utilDist,automotive-perDist,0.20,18,0.18482,1,1,12,-19480,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.20-util/tasksets/automotive_36.csv,automotive-utilDist,automotive-perDist,0.20,10,0.114321,1,1,12,-19370,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.20-util/tasksets/automotive_37.csv,automotive-utilDist,automotive-perDist,0.20,10,0.13894,1,1,12,-19660,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.20-util/tasksets/automotive_38.csv,automotive-utilDist,automotive-perDist,0.20,17,0.08505,1,1,2,-96950,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.20-util/tasksets/automotive_39.csv,automotive-utilDist,automotive-perDist,0.20,12,0.207751,1,1,4,-47650,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.20-util/tasksets/automotive_4.csv,automotive-utilDist,automotive-perDist,0.20,23,0.073103,1,1,2,-98690,500000,0,0
